"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","test_roll","diff"
"Africa",3023,1013.23901703603,1011.94640723545,1014.82809241563,34.660982963968,33.1465717476416,35.9073633665171,3.5,1.125,5.875,2.5,0.125,4.875,2010-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Africa",2302,519.253726814906,514.410220600791,522.609114300826,25.15491200294,22.1253687514337,30.2720224667409,8,3.25,12.75,5,0.25,9.75,2010-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Africa",1949,265.661904761905,258.223525529011,275.639871931303,18.4809523809524,14.1417064800132,27.8422543340379,31.8620689655172,30.5562555259989,32.9463848049774,1.13793103448276,0.0536151950226322,2.44374447400105,2010-01-18,406.323548770187,402.479318820873,410.094695171003,33.5334170886197,30.9645311171637,37.8315010482065,12.5057471264368,7.77287388180146,17.1567611375768,4.89425287356322,0.243238862423211,9.62712611819853,2071.2,7
"Africa",1540,117.291666666667,115.876214666155,118.833055014978,54.5416666666667,52.9723507990091,56.0760911466982,9.66666666666667,3.45811388300842,15.6874208829066,6.33333333333333,0.312579117093425,12.5418861169916,2010-01-25,243.009078696314,238.153626683547,247.195974559958,35.2678871624928,32.356906375354,40.616266545392,15.0657471264368,8.35240095467817,21.6554992449349,6.93425287356322,0.344500755065153,13.6475990453218,1798.6,7
"Africa",1542,116.171428571429,111.940226072962,118.563342192279,34.8285714285714,32.4366578077211,39.0597739270384,9.5,0.475,18.525,9.5,0.475,18.525,2010-02-01,169.512179487179,164.591134416871,173.768859784552,35.8830586080586,32.8371245403072,41.2423101985622,16.2657471264368,7.84240095467817,24.5654992449349,9.13425287356322,0.834500755065153,17.5575990453218,1644.2,7
"Africa",1660,196.666666666667,190.317946548818,200.334489360402,43.3333333333333,40.1084480385928,49.8311908524445,16.3,4.02263536438353,28.3686905367903,12.7,0.63130946320971,24.9773646356165,2010-02-08,151.429798534799,147.699543461707,153.836079776083,35.3368681318681,33.0135888665132,39.1207451811161,12.4933333333333,1.86114984947839,23.0462222839394,12.1066666666667,1.55377771606063,22.7388501505216,1538.8,7
"Africa",1530,151.769230769231,146.597759267408,155.4735404238,28.2307692307692,24.5264595761998,33.4022407325921,14,0.7,27.3,16,2.7,29.3,2010-02-15,150.859291288422,147.114569487081,153.30401581929,28.7407087115783,26.4709724544447,32.6016587871071,13.36,1.30952707287671,25.3687381073581,13.64,1.63126189264194,25.6904729271233,1469.6,7
"Africa",1422,175.25,173.765570753193,175.975971888957,15.75,15.024028111043,17.2344292468074,13,0.65,25.35,16,3.65,28.35,2010-02-22,144.991672240803,141.698525753921,147.358738891356,25.6083277591973,23.4162493823786,29.0177025202667,13.96,1.90952707287671,25.9687381073581,13.64,1.63126189264194,25.6904729271233,1402.2,7
"Africa",1194,114.439130434783,112.951344793024,116.17273523101,21.5608695652174,20.2592687386667,23.4806591766531,14,0.7,27.3,14,0.7,27.3,2010-03-01,133.458338907469,130.638129418556,135.611961366197,20.274994425864,18.2453324745551,23.2191644221966,14.38,3.40358121863011,25.2312143220742,12.42,1.56878567792583,23.3964187813699,1356,7
"Africa",1205,86.8333333333333,84.8600074071635,88.8369575526094,19.1666666666667,17.1630424473907,21.1399925928365,12.5,3.475,21.525,9.5,0.475,18.525,2010-03-08,146.832826086956,144.365562959462,148.767404158447,18.0255072463768,16.2525122549455,20.6132173177585,14.58,3.41358121863012,25.6212143220742,12.22,1.17878567792583,23.3864187813699,1366.8,7
"Africa",1429,139,135.015964871991,141.60060173461,16.6666666666667,14.2538634994755,20.8385003620938,18.4,11.4929060931506,24.6810716103709,6.6,0.31892838962913,13.5070939068494,2010-03-15,159.029492753623,154.765481334959,163.220091753946,22.4538405797101,18.4166263445395,26.9260849450884,15.08,3.43858121863012,26.5962143220742,12.12,0.603785677925826,23.7614187813699,1362.8,7
"Africa",1584,218.641666666666,215.23492697194,221.25075438505,16.9833333333333,14.5623584781515,20.3725052104015,15,0.75,29.25,15,0.75,29.25,2010-03-22,171.124800995025,164.789124546856,176.755693013805,25.4585323383085,19.9153833108364,31.9816827131004,14.5133333333333,3.86348119527254,25.0004212986148,11.6866666666667,1.19957870138525,22.3365188047275,1386.2,7
